id,marka,seri,trim,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,degisen_sayisi,boyali_sayisi,kimden,fiyat,model_tam
1,Lexus,ES,300h Business Plus,2023.0,43000.0,Otomatik,Benzin,Sedan,Siyah,2250.0,213.0,1.0,1.0,Galeriden,4950000.0,ES 300h Business Plus
2,Lexus,GS,200t Luxury,2023.0,25000.0,Otomatik,Benzin,Hatchback/5,Mavi,,213.0,1.0,0.0,Galeriden,1265000.0,GS 200t Luxury
3,Lexus,LS,500h Exclusive,2021.0,23665.0,Otomatik,Benzin,Sedan,Siyah,3250.0,363.0,0.0,0.0,Galeriden,9000000.0,LS 500h Exclusive
4,Kuba,City,,2024.0,0.0,Otomatik,Elektrik,Hatchback/3,Kahverengi,,50.0,0.0,0.0,Galeriden,279999.0,City
5,Lexus,GS,200t F Sport,2016.0,90500.0,Otomatik,Benzin,Sedan,Beyaz,1900.0,238.0,0.0,0.0,Galeriden,2745000.0,GS 200t F Sport
6,Infiniti,I30,3.0,1996.0,230000.0,Otomatik,LPG & Benzin,Sedan,Yeşil,2988.0,190.0,,,Sahibinden,225000.0,I30 3.0
7,Infiniti,I30,3.0,1996.0,298000.0,Otomatik,LPG & Benzin,Sedan,Yeşil,2988.0,190.0,0.0,7.0,Sahibinden,475000.0,I30 3.0
8,Infiniti,Q50,2.0,2016.0,150000.0,Otomatik,Benzin,Sedan,Beyaz,1900.0,213.0,0.0,0.0,Galeriden,1950000.0,Q50 2.0
9,Ikco,Samand,1.6 LX,2008.0,310000.0,Düz,Benzin,Sedan,Bej,1587.0,106.0,,,Sahibinden,250000.0,Samand 1.6 LX
10,Ikco,Samand,1.6 LX,2008.0,275000.0,Düz,Benzin,Sedan,Gri,1500.0,113.0,0.0,0.0,Galeriden,262000.0,Samand 1.6 LX
11,Infiniti,M,M30d,2012.0,201000.0,Otomatik,Benzin,Sedan,Siyah,2750.0,238.0,0.0,0.0,Galeriden,1450000.0,M M30d
12,Buick,Regal,3.1,1991.0,95000.0,Otomatik,Benzin,Sedan,Beyaz,3250.0,213.0,0.0,0.0,Galeriden,950000.0,Regal 3.1
13,Infiniti,G,G37 GT,2011.0,157940.0,Otomatik,Benzin,Cabrio,Yeşil,3750.0,313.0,0.0,12.0,Galeriden,1499000.0,G G37 GT
14,Infiniti,Q60,2.0,2017.0,148000.0,Otomatik,Benzin,Coupe,Füme,1900.0,213.0,0.0,4.0,Galeriden,2260060.0,Q60 2.0
15,Lexus,ES,300h Business,2019.0,162000.0,Otomatik,Hibrit,Sedan,Siyah,2494.0,178.0,0.0,0.0,Galeriden,2450000.0,ES 300h Business
16,Lexus,ES,300h Exclusive,2019.0,154000.0,Otomatik,Hibrit,Sedan,Siyah,2487.0,218.0,3.0,0.0,Galeriden,4000000.0,ES 300h Exclusive
17,Lexus,LS,500h Exclusive,2022.0,75000.0,Otomatik,Benzin,Sedan,Siyah,3250.0,363.0,1.0,0.0,Galeriden,8450000.0,LS 500h Exclusive
18,Lexus,LS,500h Exclusive,2022.0,29000.0,Otomatik,Benzin,Sedan,Siyah,3250.0,363.0,0.0,0.0,Galeriden,9950000.0,LS 500h Exclusive
19,Ikco,Samand,1.6 LX,2008.0,157000.0,Düz,LPG & Benzin,Sedan,Siyah,1587.0,106.0,0.0,2.0,Sahibinden,280000.0,Samand 1.6 LX
20,Ikco,Samand,1.6 LX,2009.0,198000.0,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1587.0,106.0,0.0,7.0,Sahibinden,240000.0,Samand 1.6 LX
21,Infiniti,Q30,1.5 D,2016.0,162000.0,Yarı Otomatik,Dizel,SUV,Gri,1461.0,109.0,,,Sahibinden,1150000.0,Q30 1.5 D
22,Ikco,Samand,1.6 LX,2009.0,205000.0,Düz,LPG & Benzin,Sedan,Siyah,1500.0,113.0,0.0,0.0,Galeriden,229999.0,Samand 1.6 LX
23,Lexus,GS,200t Luxury,2023.0,20000.0,Otomatik,Benzin,Hatchback/5,Siyah,,213.0,0.0,2.0,Galeriden,1350000.0,GS 200t Luxury
24,Isuzu,Gemini,1.8,1993.0,258000.0,Düz,Dizel,Cabrio,Beyaz,2750.0,213.0,0.0,0.0,Sahibinden,245000.0,Gemini 1.8
25,Infiniti,G,G37 S,2009.0,138000.0,Otomatik,Benzin,Coupe,Siyah,3750.0,313.0,0.0,8.0,Galeriden,3950000.0,G G37 S
26,Acura,CL,,1997.0,500000.0,Düz,Benzin,Cabrio,Altın,2163.0,147.0,,,Galeriden,500000.0,CL
27,Infiniti,Q30,1.6,2016.0,97000.0,Yarı Otomatik,Benzin,SUV,Kırmızı,1595.0,156.0,0.0,1.0,Sahibinden,1250000.0,Q30 1.6
28,Ikco,Samand,1.6 LX,2008.0,212000.0,Düz,LPG & Benzin,Sedan,Füme,1587.0,106.0,3.0,10.0,Sahibinden,310000.0,Samand 1.6 LX
29,Lexus,GS,200t Luxury,2023.0,13500.0,Otomatik,Benzin,Hatchback/5,Siyah,,213.0,0.0,0.0,Galeriden,1290000.0,GS 200t Luxury
30,Acura,CL,,1998.0,200000.0,Düz,LPG & Benzin,Coupe,Beyaz,2245.0,152.0,0.0,0.0,Sahibinden,175000.0,CL
31,Lada,Samara,1.5,1993.0,310000.0,Düz,Benzin,Hatchback/5,Füme,1499.0,68.0,0.0,0.0,Galeriden,92500.0,Samara 1.5
32,Infiniti,I30,3.0,2000.0,180000.0,Otomatik,Benzin,Sedan,Bej,2988.0,227.0,0.0,0.0,Galeriden,515000.0,I30 3.0
33,Lexus,ES,300h Exclusive,2020.0,58000.0,Otomatik,LPG & Benzin,Sedan,Siyah,2494.0,178.0,3.0,2.0,Galeriden,2995000.0,ES 300h Exclusive
34,Lada,Samara,1.5,1999.0,300000.0,Düz,LPG & Benzin,Hatchback/5,Şampanya,1500.0,70.0,0.0,0.0,Galeriden,125000.0,Samara 1.5
35,Lexus,GS,200t Luxury,2023.0,35000.0,Otomatik,Benzin,Hatchback/5,Kırmızı,,213.0,0.0,0.0,Galeriden,1300000.0,GS 200t Luxury
36,Infiniti,Q30,1.5 D,2016.0,160000.0,Otomatik,Benzin,Hatchback/5,Siyah,1500.0,113.0,,,Galeriden,1180000.0,Q30 1.5 D
37,Lada,Samara,1.5,1993.0,119000.0,Düz,LPG & Benzin,Sedan,Kırmızı,,,,,Sahibinden,105000.0,Samara 1.5
38,Lada,Samara,1.5,2001.0,220000.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,1500.0,78.0,0.0,1.0,Sahibinden,185000.0,Samara 1.5
39,Lada,Samara,1.5,1990.0,120000.0,Düz,LPG & Benzin,Hatchback/3,Bordo,1500.0,75.0,,,Sahibinden,130000.0,Samara 1.5
40,Lada,Samara,1.5,1993.0,135000.0,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1499.0,68.0,,,Sahibinden,125000.0,Samara 1.5
41,Lada,Samara,1.5,1994.0,33000.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,1499.0,68.0,,,Sahibinden,110000.0,Samara 1.5
42,Lexus,IS,200t Executive,2016.0,77000.0,Otomatik,Benzin,Sedan,Füme,1900.0,238.0,0.0,2.0,Galeriden,2150000.0,IS 200t Executive
43,Acura,Integra,,1996.0,500000.0,Düz,Benzin,Sedan,Altın,1834.0,142.0,,,Galeriden,500000.0,Integra
44,Lexus,ES,300h Business Plus,2023.0,24000.0,Otomatik,Hibrit,Sedan,Siyah,2494.0,178.0,,,Galeriden,5250000.0,ES 300h Business Plus
45,Lexus,GS,200t Luxury,2023.0,8000.0,Otomatik,Benzin,Hatchback/5,Mavi,,213.0,0.0,0.0,Galeriden,1349000.0,GS 200t Luxury
46,Lexus,GS,200t Luxury,2023.0,25000.0,Otomatik,Benzin,Hatchback/5,Kırmızı,,213.0,0.0,0.0,Galeriden,1315000.0,GS 200t Luxury
47,Lada,Samara,1.5,1994.0,250000.0,Düz,LPG & Benzin,Hatchback/5,Bordo,1499.0,68.0,,,Sahibinden,125000.0,Samara 1.5
48,Ikco,Samand,1.6 LX,2009.0,270000.0,Düz,LPG & Benzin,Sedan,Kırmızı,1587.0,106.0,0.0,0.0,Sahibinden,260000.0,Samand 1.6 LX
49,Infiniti,M,M30d,2011.0,120000.0,Otomatik,Benzin,Sedan,Beyaz,2750.0,238.0,0.0,1.0,Galeriden,1775000.0,M M30d
50,Lada,Vega,1.6,2006.0,238000.0,Düz,Benzin,Sedan,Şampanya,1596.0,90.0,,,Sahibinden,175000.0,Vega 1.6
51,Lada,Samara,1.5,2000.0,236000.0,Düz,Benzin,Hatchback/5,Mavi,1500.0,78.0,0.0,0.0,Sahibinden,165000.0,Samara 1.5
52,Lada,Vega,1.5,2005.0,142000.0,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1499.0,93.0,0.0,0.0,Sahibinden,220000.0,Vega 1.5
53,Lada,Samara,1.5,1993.0,350000.0,Düz,LPG & Benzin,Hatchback/3,Kırmızı,1500.0,75.0,,,Sahibinden,115000.0,Samara 1.5
54,Lada,Samara,1.5,2004.0,168400.0,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),,,,,Sahibinden,225000.0,Samara 1.5
55,Lada,Vega,1.5,2000.0,173478.0,Düz,LPG & Benzin,Sedan,Bordo,1499.0,78.0,1.0,0.0,Sahibinden,160000.0,Vega 1.5
56,Lada,Samara,1.5,2004.0,87000.0,Düz,Benzin,Hatchback/5,Gri,1500.0,88.0,0.0,1.0,Galeriden,225000.0,Samara 1.5
57,Lada,Samara,1.5,1992.0,250000.0,Düz,Benzin,Hatchback/5,Kırmızı,1499.0,68.0,0.0,0.0,Galeriden,65000.0,Samara 1.5
58,Lada,Samara,1.5,1991.0,131000.0,Düz,Benzin,Hatchback/5,Gri,1499.0,68.0,0.0,0.0,Galeriden,145000.0,Samara 1.5
59,Lada,Samara,1.5,1993.0,160000.0,Düz,Benzin,Hatchback/5,Kırmızı,1499.0,68.0,0.0,0.0,Galeriden,127500.0,Samara 1.5
60,Lada,Vega,1.5,2000.0,138300.0,Düz,LPG & Benzin,Sedan,Lacivert,1499.0,78.0,,,Sahibinden,155000.0,Vega 1.5
61,Lada,Samara,1.5,2000.0,200000.0,Düz,Benzin,Hatchback/5,Yeşil,1500.0,78.0,0.0,0.0,Galeriden,155000.0,Samara 1.5
62,Lada,Vega,1.6,2006.0,205000.0,Düz,Benzin,Hatchback/5,Gri,1596.0,90.0,0.0,0.0,Galeriden,210000.0,Vega 1.6
63,Lada,Samara,1.5,1993.0,247000.0,Düz,Benzin,Hatchback/5,Bordo,1499.0,68.0,1.0,10.0,Galeriden,157000.0,Samara 1.5
64,Lada,Samara,1.5,1994.0,33500.0,Düz,LPG & Benzin,Hatchback/3,Mavi (metalik),1500.0,75.0,,,Sahibinden,130000.0,Samara 1.5
65,Lada,Samara,1.5,1994.0,64000.0,Düz,Benzin,Hatchback/5,Bordo,1499.0,68.0,0.0,0.0,Galeriden,197000.0,Samara 1.5
66,Lada,Vega,1.5,2000.0,227000.0,Düz,Benzin,Sedan,Bej,1499.0,78.0,0.0,0.0,Galeriden,136750.0,Vega 1.5
67,Lada,Samara,1.5,1990.0,65000.0,Düz,LPG & Benzin,Hatchback/3,Kırmızı,1500.0,75.0,0.0,0.0,Sahibinden,118000.0,Samara 1.5
68,Lada,Vega,1.5,2003.0,173000.0,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1499.0,93.0,,,Sahibinden,200000.0,Vega 1.5
69,Lada,Vega,1.5,2004.0,340000.0,Düz,LPG & Benzin,Hatchback/5,Siyah,1499.0,93.0,0.0,0.0,Sahibinden,155000.0,Vega 1.5
70,Lada,Vega,1.5,2001.0,280000.0,Düz,LPG & Benzin,Sedan,Yeşil (metalik),1499.0,78.0,,,Sahibinden,150000.0,Vega 1.5
71,Lada,Vega,1.5,2002.0,318000.0,Düz,LPG & Benzin,Station wagon,Mor,1499.0,77.0,,,Sahibinden,190000.0,Vega 1.5
72,Lada,Vega,1.5,2000.0,255000.0,Düz,LPG & Benzin,Sedan,Lacivert,1499.0,78.0,,,Sahibinden,145000.0,Vega 1.5
73,Lada,Vega,1.5,1999.0,285000.0,Düz,Benzin,Sedan,Gri,1499.0,78.0,0.0,0.0,Galeriden,155000.0,Vega 1.5
74,Lada,Samara,1.5,1992.0,165000.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,1499.0,68.0,0.0,6.0,Sahibinden,105000.0,Samara 1.5
75,Lada,Vega,1.5,2001.0,317000.0,Düz,Benzin,Sedan,Gri,1500.0,88.0,0.0,0.0,Galeriden,164750.0,Vega 1.5
76,Lada,Samara,1.5,1994.0,215000.0,Düz,LPG & Benzin,Hatchback/3,Kırmızı,1500.0,75.0,0.0,0.0,Sahibinden,190000.0,Samara 1.5
77,Lada,Samara,1.5,1990.0,290000.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,1499.0,68.0,0.0,0.0,Sahibinden,95000.0,Samara 1.5
78,Lada,Samara,1.5,2001.0,252000.0,Düz,LPG & Benzin,Hatchback/5,Yeşil (metalik),,,0.0,11.0,Sahibinden,178000.0,Samara 1.5
79,Lada,Vega,1.5,2000.0,89000.0,Düz,Benzin,Sedan,Yeşil,,,1.0,12.0,Sahibinden,195000.0,Vega 1.5
80,Lada,Vega,1.5,2001.0,171000.0,Düz,Benzin,Sedan,Mavi,1499.0,78.0,2.0,6.0,Galeriden,189900.0,Vega 1.5
81,Lada,Vega,1.5,1999.0,200000.0,Düz,LPG & Benzin,Sedan,Bej,1499.0,78.0,,,Sahibinden,150000.0,Vega 1.5
82,Lada,Samara,1.5,1993.0,41000.0,Düz,LPG & Benzin,Hatchback/3,Kırmızı,1500.0,75.0,0.0,0.0,Sahibinden,145000.0,Samara 1.5
83,Lada,Samara,1.5,1991.0,264000.0,Düz,Benzin,Hatchback/5,Beyaz,1499.0,68.0,0.0,0.0,Galeriden,135000.0,Samara 1.5
84,Lada,Vega,1.5,2004.0,180800.0,Düz,LPG & Benzin,Hatchback/5,Gri (metalik),1499.0,77.0,,,Sahibinden,150000.0,Vega 1.5
85,Lada,Samara,1.5,1993.0,99000.0,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1499.0,68.0,0.0,2.0,Galeriden,125000.0,Samara 1.5
86,Lada,Kalina,1.6,2009.0,115000.0,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1596.0,80.0,,,Sahibinden,300000.0,Kalina 1.6
87,Lada,Samara,1.5,1993.0,159000.0,Düz,Benzin,Hatchback/5,Beyaz,1499.0,68.0,0.0,0.0,Galeriden,157000.0,Samara 1.5
88,Lada,Vega,1.5,2005.0,100000.0,Düz,Benzin,Hatchback/5,Gri (Gümüş),1499.0,93.0,0.0,0.0,Sahibinden,225000.0,Vega 1.5
89,Lada,Vega,1.5,2004.0,256168.0,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1499.0,93.0,0.0,0.0,Galeriden,260000.0,Vega 1.5
90,Lada,Vega,1.5,2001.0,217000.0,Düz,LPG & Benzin,Sedan,Mavi,1499.0,78.0,,,Galeriden,150000.0,Vega 1.5
91,Daewoo,Lanos,1.5 SX,2001.0,219000.0,Düz,LPG & Benzin,Hatchback/5,Şampanya,1498.0,86.0,1.0,11.0,Sahibinden,225000.0,Lanos 1.5 SX
92,Lada,Samara,1.5,2000.0,311000.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,1500.0,78.0,0.0,2.0,Sahibinden,140000.0,Samara 1.5
93,Daewoo,Lanos,1.5 SE,1998.0,324000.0,Düz,LPG & Benzin,Sedan,Mavi,1498.0,86.0,,,Sahibinden,130000.0,Lanos 1.5 SE
94,Daewoo,Lanos,1.5 SE,1999.0,270000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,113.0,0.0,0.0,Galeriden,215000.0,Lanos 1.5 SE
95,Daewoo,Racer,1.5i,1997.0,185000.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,1498.0,72.0,,,Sahibinden,75000.0,Racer 1.5i
96,Daewoo,Nubira,1.6 SX,2001.0,277000.0,Düz,LPG & Benzin,Sedan,Kırmızı,1598.0,106.0,0.0,8.0,Sahibinden,242000.0,Nubira 1.6 SX
97,Daewoo,Espero,1.5i GL,1998.0,22222.0,Düz,LPG & Benzin,Sedan,Yeşil,1498.0,88.0,,,Galeriden,115000.0,Espero 1.5i GL
98,Daewoo,Lanos,1.5 SE,2001.0,288000.0,Düz,LPG & Benzin,Sedan,Beyaz,1498.0,86.0,0.0,2.0,Sahibinden,200000.0,Lanos 1.5 SE
99,Daewoo,Matiz,0.8 SE,1999.0,165000.0,Düz,Benzin,Hatchback/5,Sarı,796.0,51.0,0.0,10.0,Sahibinden,153000.0,Matiz 0.8 SE
100,Daewoo,Leganza,2.0 CDX,1998.0,220000.0,Otomatik,LPG & Benzin,Sedan,Siyah,1998.0,133.0,0.0,0.0,Galeriden,225000.0,Leganza 2.0 CDX
101,Daewoo,Lanos,1.5 SE,1998.0,350000.0,Düz,Benzin,Sedan,Beyaz,1498.0,86.0,0.0,0.0,Galeriden,180000.0,Lanos 1.5 SE
102,Daewoo,Chairman,600 L,1998.0,175000.0,Otomatik,Benzin,Sedan,Siyah,3250.0,288.0,0.0,0.0,Galeriden,1850000.0,Chairman 600 L
103,Daewoo,Lanos,1.6 SX,1998.0,270500.0,Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1300.0,88.0,0.0,3.0,Sahibinden,210000.0,Lanos 1.6 SX
104,Daewoo,Nexia,1.5 GLX,1997.0,164000.0,Düz,LPG & Benzin,Sedan,Bordo,1498.0,90.0,,,Galeriden,158000.0,Nexia 1.5 GLX
105,Daewoo,Nexia,1.5 GLE,1997.0,250000.0,Düz,LPG & Benzin,Sedan,Yeşil,1498.0,80.0,,,Sahibinden,105000.0,Nexia 1.5 GLE
106,Daewoo,Espero,2.0i,1996.0,184000.0,Düz,Benzin,Sedan,Bordo,1900.0,113.0,0.0,0.0,Galeriden,85000.0,Espero 2.0i
107,Daewoo,Nubira,1.6 SX,1998.0,250000.0,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1598.0,106.0,,,Galeriden,160000.0,Nubira 1.6 SX
108,Daewoo,Nexia,1.5 GLE,1997.0,140000.0,Düz,LPG & Benzin,Sedan,Lacivert,1498.0,80.0,0.0,0.0,Sahibinden,162500.0,Nexia 1.5 GLE
109,Daewoo,Nexia,1.5 GLE,1996.0,280000.0,Düz,LPG & Benzin,Sedan,Beyaz,1498.0,80.0,,,Sahibinden,149900.0,Nexia 1.5 GLE
110,Daewoo,Lanos,1.6 SX,1998.0,345000.0,Düz,Benzin,Hatchback/5,Yeşil,1598.0,106.0,,,Sahibinden,250000.0,Lanos 1.6 SX
111,Daewoo,Lanos,1.5 SE,1998.0,272000.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,1498.0,86.0,,,Sahibinden,160000.0,Lanos 1.5 SE
112,Daewoo,Lanos,1.6 SX,1998.0,288000.0,Düz,Benzin,Hatchback/5,Kırmızı,1598.0,106.0,0.0,0.0,Galeriden,194000.0,Lanos 1.6 SX
113,Daewoo,Nexia,1.5 GL,1996.0,232000.0,Otomatik,LPG & Benzin,Hatchback/5,Bordo,1500.0,,,,Sahibinden,199999.0,Nexia 1.5 GL
114,Daewoo,Espero,2.0i,1998.0,150000.0,Düz,LPG & Benzin,Sedan,Kahverengi,1998.0,105.0,,,Sahibinden,110000.0,Espero 2.0i
115,Daewoo,Lanos,1.5 SE,1998.0,192000.0,Düz,LPG & Benzin,Hatchback/5,Yeşil (metalik),1498.0,86.0,0.0,12.0,Sahibinden,160000.0,Lanos 1.5 SE
116,Daewoo,Nexia,1.5 GLX,1997.0,269000.0,Düz,LPG & Benzin,Sedan,Bordo,1498.0,90.0,0.0,9.0,Sahibinden,185000.0,Nexia 1.5 GLX
117,Daewoo,Nubira,1.6 S,1999.0,300000.0,Düz,LPG & Benzin,Hatchback/5,Gri,1598.0,106.0,,,Sahibinden,220000.0,Nubira 1.6 S
118,Daewoo,Nubira,1.6 SX,2001.0,250000.0,Düz,LPG & Benzin,Hatchback/5,Gri,1598.0,106.0,,,Sahibinden,250000.0,Nubira 1.6 SX
119,Daewoo,Leganza,2.0 SX,1998.0,380000.0,Düz,LPG & Benzin,Sedan,Diğer,1998.0,133.0,,,Sahibinden,190000.0,Leganza 2.0 SX
120,Daewoo,Super Saloon,2.0,1997.0,330000.0,Otomatik,LPG & Benzin,Sedan,Gri (Gümüş),,,,,Sahibinden,90000.0,Super Saloon 2.0
121,Daewoo,Tico,0.8 SX,1997.0,224000.0,Düz,LPG & Benzin,Hatchback/5,Gri,796.0,41.0,0.0,3.0,Sahibinden,150000.0,Tico 0.8 SX
122,Daewoo,Matiz,0.8 SE,1999.0,190000.0,Düz,Benzin,Hatchback/5,Mavi,796.0,51.0,0.0,0.0,Sahibinden,189000.0,Matiz 0.8 SE
123,Daewoo,Lanos,1.6 SX,1998.0,234000.0,Düz,LPG & Benzin,Hatchback/5,Mavi,1598.0,106.0,,,Sahibinden,175000.0,Lanos 1.6 SX
124,Daewoo,Matiz,0.8 SE,2002.0,290000.0,Düz,LPG & Benzin,Hatchback/5,Yeşil,796.0,51.0,,,Sahibinden,185000.0,Matiz 0.8 SE
125,Daewoo,Tico,0.8 SL,1997.0,250000.0,Düz,LPG & Benzin,Hatchback/5,Mavi,796.0,41.0,,,Sahibinden,85000.0,Tico 0.8 SL
126,Daewoo,Lanos,1.6 SX,1998.0,200000.0,Düz,LPG & Benzin,Hatchback/3,Beyaz,1598.0,106.0,0.0,1.0,Sahibinden,250000.0,Lanos 1.6 SX
127,Daewoo,Nexia,1.5 GLX,1996.0,200000.0,Düz,LPG & Benzin,Sedan,Bordo,1498.0,90.0,0.0,0.0,Galeriden,130000.0,Nexia 1.5 GLX
128,Daewoo,Lanos,1.5 SE,1998.0,297000.0,Düz,LPG & Benzin,Sedan,Yeşil,1498.0,86.0,,,Sahibinden,195000.0,Lanos 1.5 SE
129,Daewoo,Nexia,1.5 GL,1997.0,108782.0,Düz,Benzin,Hatchback/3,Beyaz,1498.0,80.0,,,Sahibinden,210000.0,Nexia 1.5 GL
130,Daewoo,Lanos,1.5 SE,1998.0,328000.0,Düz,LPG & Benzin,Sedan,Beyaz,1498.0,86.0,,,Sahibinden,185000.0,Lanos 1.5 SE
131,Daewoo,Racer,1.5i,1997.0,285000.0,Düz,LPG & Benzin,Hatchback/5,Diğer,1498.0,72.0,,,Sahibinden,100000.0,Racer 1.5i
132,Daewoo,Lanos,1.6 SX,2001.0,245000.0,Düz,Benzin,Sedan,Gri,1598.0,106.0,,,Sahibinden,165000.0,Lanos 1.6 SX
133,Daewoo,Racer,1.5i,1996.0,240000.0,Düz,LPG & Benzin,Hatchback/5,Yeşil,1498.0,72.0,,,Sahibinden,125000.0,Racer 1.5i
134,Daewoo,Nexia,1.5 GLX,1997.0,267785.0,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1498.0,90.0,,,Sahibinden,100000.0,Nexia 1.5 GLX
135,Daewoo,Espero,2.0i,1996.0,180000.0,Düz,LPG & Benzin,Sedan,Lacivert,1998.0,105.0,0.0,0.0,Galeriden,200000.0,Espero 2.0i
136,Daewoo,Matiz,0.8 SE,2001.0,244000.0,Düz,Benzin,Hatchback/5,Gri,796.0,51.0,,,Sahibinden,167500.0,Matiz 0.8 SE
137,Daewoo,Nubira,1.6 SX,1999.0,295000.0,Otomatik,LPG & Benzin,Sedan,Bordo,1598.0,106.0,,,Sahibinden,185000.0,Nubira 1.6 SX
138,Daewoo,Nexia,1.5 GL,1997.0,311000.0,Düz,LPG & Benzin,Hatchback/5,Bordo,1498.0,80.0,,,Sahibinden,199000.0,Nexia 1.5 GL
139,Daewoo,Espero,1.8i CD,1997.0,329000.0,Düz,LPG & Benzin,Sedan,Bordo,1796.0,95.0,0.0,0.0,Sahibinden,90000.0,Espero 1.8i CD
140,Daewoo,Tico,0.8 SX,1997.0,162000.0,Düz,Benzin,Hatchback/5,Mavi,796.0,41.0,,,Galeriden,250000.0,Tico 0.8 SX
141,BMW,5 Serisi,520i 50th Year M Edition,2022.0,83000.0,Otomatik,Benzin,Sedan,Siyah,1500.0,163.0,0.0,0.0,Sahibinden,3550000.0,5 Serisi 520i 50th Year M Edition
142,BMW,2 Serisi,216d Gran Coupe First Edition Sport Line,2021.0,92000.0,Otomatik,Benzin,Sedan,Mavi,1500.0,113.0,0.0,0.0,Galeriden,1790999.0,2 Serisi 216d Gran Coupe First Edition Sport Line
143,Daewoo,Lanos,1.6 SX,1998.0,201000.0,Düz,Benzin,Hatchback/3,Yeşil,1598.0,106.0,,,Sahibinden,300000.0,Lanos 1.6 SX
144,BMW,1 Serisi,118i Joy Plus,2015.0,184000.0,Otomatik,Benzin,Hatchback/5,Kırmızı,1500.0,138.0,0.0,0.0,Galeriden,1135000.0,1 Serisi 118i Joy Plus
145,BMW,3 Serisi,316i M Sport,2014.0,150000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,138.0,2.0,5.0,Galeriden,1175000.0,3 Serisi 316i M Sport
146,BMW,3 Serisi,320i Premium,2006.0,238000.0,Otomatik,Benzin,Sedan,Gri,1900.0,138.0,0.0,7.0,Galeriden,649000.0,3 Serisi 320i Premium
147,BMW,3 Serisi,320i ED Luxury Line,2014.0,280000.0,Otomatik,Benzin,Sedan,Siyah,1500.0,163.0,1.0,3.0,Galeriden,1175000.0,3 Serisi 320i ED Luxury Line
148,BMW,5 Serisi,520d Comfort,2012.0,315000.0,Otomatik,Benzin,Sedan,Füme,1995.0,184.0,0.0,5.0,Galeriden,1250000.0,5 Serisi 520d Comfort
149,BMW,7 Serisi,730d xDrive Standart,2012.0,285000.0,Otomatik,Benzin,Sedan,Beyaz,2993.0,258.0,0.0,0.0,Galeriden,2050000.0,7 Serisi 730d xDrive Standart
150,BMW,3 Serisi,320i M Sport,2022.0,68000.0,Otomatik,Benzin,Sedan,Mavi,1500.0,163.0,0.0,0.0,Galeriden,3025000.0,3 Serisi 320i M Sport
151,BMW,3 Serisi,320i First Edition Sport Line,2019.0,115000.0,Otomatik,Benzin,Sedan,Siyah,1500.0,163.0,0.0,0.0,Galeriden,2325000.0,3 Serisi 320i First Edition Sport Line
152,BMW,5 Serisi,520i Comfort,2016.0,163000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,163.0,0.0,0.0,Galeriden,1675000.0,5 Serisi 520i Comfort
153,BMW,5 Serisi,520i Standart,1996.0,405000.0,Düz,LPG & Benzin,Sedan,Gri,1900.0,138.0,1.0,5.0,Galeriden,360000.0,5 Serisi 520i Standart
154,BMW,3 Serisi,320d Comfort,2012.0,272000.0,Otomatik,Dizel,Sedan,Siyah,1995.0,184.0,0.0,2.0,Sahibinden,1000000.0,3 Serisi 320d Comfort
155,BMW,5 Serisi,520i Executive,2016.0,111000.0,Otomatik,Benzin,Sedan,Beyaz,1592.0,170.0,0.0,0.0,Galeriden,1999000.0,5 Serisi 520i Executive
156,BMW,3 Serisi,320i ED Luxury Line,2013.0,180000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,163.0,,,Galeriden,1319000.0,3 Serisi 320i ED Luxury Line
157,BMW,3 Serisi,320d M Sport,2008.0,253000.0,Otomatik,Benzin,Coupe,Gri,1995.0,177.0,1.0,4.0,Galeriden,945000.0,3 Serisi 320d M Sport
158,BMW,M Serisi,M5,2001.0,152000.0,Düz,Benzin,Sedan,Mavi,4941.0,400.0,1.0,11.0,Galeriden,3650000.0,M Serisi M5
159,BMW,3 Serisi,316ti Compact,2003.0,320000.0,Düz,LPG & Benzin,Hatchback/3,Beyaz,1596.0,115.0,,,Galeriden,299999.0,3 Serisi 316ti Compact
